id,date,state_name,state_code,office_name,office_code,type,category,registrations
180014,01-04-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,836
180023,01-08-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,874
180031,01-12-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,729
180040,01-02-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,663
180049,01-01-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,726
180056,01-07-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,716
180064,01-06-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,921
180072,01-03-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,952
180080,01-05-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,835
180089,01-11-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,679
180098,01-10-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,825
180107,01-09-2023,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,866
180116,01-01-2024,Karnataka,29,Electronic City Rto,KA51,Diesel,Fuel,629
183174,01-04-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,224
183181,01-08-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,191
183190,01-12-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,176
183198,01-02-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,254
183207,01-01-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,261
183214,01-07-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,185
183222,01-06-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,223
183231,01-03-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,220
183239,01-05-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,212
183248,01-11-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,226
183257,01-10-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,209
183266,01-09-2023,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,202
183275,01-01-2024,Karnataka,29,Jnanabharathi Rto,KA41,Diesel,Fuel,142
185283,01-04-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,390
185291,01-08-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,589
185299,01-12-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,527
185308,01-02-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,401
185317,01-01-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,414
185325,01-07-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,476
185335,01-06-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,466
185343,01-03-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,442
185351,01-05-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,454
185359,01-11-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,450
185369,01-10-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,599
185378,01-09-2023,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,504
185387,01-01-2024,Karnataka,29,Krishnarajapuram Rto,KA53,Diesel,Fuel,309
191712,01-08-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,23
191713,01-12-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,47
191714,01-02-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,15
191717,01-06-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,50
191719,01-03-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,5
191720,01-05-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,23
191721,01-11-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,28
191722,01-10-2023,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,70
191723,01-01-2024,Karnataka,29,"Stu And Autorikshaw, Shanthinagar Rto",KA57,Diesel,Fuel,5
193719,01-04-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,287
193727,01-08-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,232
193735,01-12-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,243
193744,01-02-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,179
193752,01-01-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,226
193759,01-07-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,226
193767,01-06-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,254
193776,01-03-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,259
193784,01-05-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,243
193793,01-11-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,222
193803,01-10-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,224
193812,01-09-2023,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,229
193821,01-01-2024,Karnataka,29,Yalahanka Rto,KA50,Diesel,Fuel,200
172987,01-04-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel/Hybrid,Fuel,2
172996,01-08-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel/Hybrid,Fuel,5
173005,01-12-2023,Karnataka,29,Bengaluru Central Rto,KA1,Diesel/Hybrid,Fuel,5
